    1 Ceres          |2001 04 01.000|0.078744  |2.767248| 10.5838| 80.4898 | 73.9794 | 2000|103.6377  | 3.34| 0.12|   0.00
    2 Pallas         |2001 04 01.000|0.229849  |2.773354| 34.8404|173.1918 |310.3368 | 2000| 90.1237  | 4.13| 0.11|   0.00
    4 Vesta          |2001 04 01.000|0.089753  |2.360775|  7.1346|103.9510 |149.4585 | 2000|104.8980  | 3.20| 0.32|   0.00
    5 Astraea        |2001 04 01.000|0.192607  |2.573792|  5.3684|141.6914 |357.6751 | 2000|148.3430  | 6.85| 0.15|   0.00
    6 Hebe           |2001 04 01.000|0.201792  |2.424894| 14.7670|138.8591 |238.9403 | 2000|165.0240  | 5.71| 0.24|   0.00
    7 Iris           |2001 04 01.000|0.230119  |2.386217|  5.5242|259.8660 |145.1709 | 2000|175.1493  | 5.51| 0.15|   0.00
   10 Hygiea         |2001 04 01.000|0.119298  |3.137339|  3.8437|283.6550 |314.1838 | 2000| 60.1420  | 5.43| 0.15|   0.00
   11 Parthenope     |2001 04 01.000|0.098804  |2.452166|  4.6223|125.6557 |194.3660 | 2000| 26.8410  | 6.55| 0.15|   0.00
   13 Egeria         |2001 04 01.000|0.084554  |2.576012| 16.5409| 43.3254 | 80.8381 | 2000| 54.3618  | 6.74| 0.15|   0.00
   14 Irene          |2001 04 01.000|0.167587  |2.585869|  9.1068| 86.5067 | 96.5167 | 2000| 41.9103  | 6.30| 0.15|   0.00
   15 Eunomia        |2001 04 01.000|0.185819  |2.644792| 11.7467|293.4961 | 97.0651 | 2000|211.4641  | 5.28| 0.23|   0.00
   18 Melpomene      |2001 04 01.000|0.217717  |2.295816| 10.1268|150.5732 |227.7004 | 2000|197.3362  | 6.51| 0.25|   0.00
   19 Fortuna        |2001 04 01.000|0.158058  |2.442102|  1.5721|211.4904 |182.1006 | 2000|292.5353  | 7.13| 0.10|   0.00
   20 Massalia       |2001 04 01.000|0.142602  |2.409500|  0.7059|206.6051 |255.6566 | 2000|178.8178  | 6.50| 0.25|   0.00
   22 Kalliope       |2001 04 01.000|0.101732  |2.908005| 13.7236| 66.3256 |357.3907 | 2000|324.5513  | 6.45| 0.21|   0.00
   23 Thalia         |2001 04 01.000|0.233776  |2.626098| 10.1499| 67.2648 | 59.4037 | 2000|248.7890  | 6.95| 0.15|   0.00
   24 Themis         |2001 04 01.000|0.134246  |3.127467|  0.7613| 36.0763 |108.8139 | 2000|260.3084  | 7.08| 0.19|   0.00
   26 Proserpina     |2001 04 01.000|0.088395  |2.655988|  3.5617| 45.9498 |193.6283 | 2000| 42.4012  | 7.5 | 0.15|   0.00
   29 Amphitrite     |2001 04 01.000|0.071884  |2.554505|  6.1020|356.5634 | 62.1620 | 2000|132.4282  | 5.85| 0.20|   0.00
   36 Atalante       |2001 04 01.000|0.302529  |2.747776| 18.4185|358.5139 | 47.3915 | 2000|312.0945  | 8.46| 0.15|   0.00
   37 Fides          |2001 04 01.000|0.175941  |2.641373|  3.0724|  7.4553 | 63.0826 | 2000|266.6964  | 7.29| 0.24|   0.00
   39 Laetitia       |2001 04 01.000|0.111338  |2.768657| 10.3698|157.2288 |208.7340 | 2000|329.9572  | 6.1 | 0.15|   0.00
   40 Harmonia       |2001 04 01.000|0.045973  |2.266869|  4.2564| 94.3198 |269.3334 | 2000|  2.5532  | 7.0 | 0.15|   0.00
   42 Isis           |2001 04 01.000|0.223874  |2.441324|  8.5385| 84.5697 |235.9327 | 2000|300.1024  | 7.53| 0.15|   0.00
   43 Ariadne        |2001 04 01.000|0.168774  |2.203107|  3.4700|265.0276 | 15.7762 | 2000|309.3767  | 7.93| 0.11|   0.00
   44 Nysa           |2001 04 01.000|0.148294  |2.424005|  3.7025|131.6131 |342.6481 | 2000|159.3616  | 7.03| 0.46|   0.00
   45 Eugenia        |2001 04 01.000|0.083124  |2.720906|  6.6107|147.9644 | 86.2508 | 2000| 30.7340  | 7.46| 0.07|   0.00
   48 Doris          |2001 04 01.000|0.074218  |3.108922|  6.5478|183.9580 |260.2275 | 2000|316.0340  | 6.90| 0.15|   0.00
   51 Nemausa        |2001 04 01.000|0.066925  |2.365750|  9.9668|176.2046 |  3.2016 | 2000|107.4150  | 7.35| 0.08|   0.00
   52 Europa         |2001 04 01.000|0.101216  |3.100276|  7.4674|129.0294 |342.5824 | 2000|124.6453  | 6.31| 0.18|   0.00
   54 Alexandra      |2001 04 01.000|0.199186  |2.709911| 11.8276|313.5334 |344.9479 | 2000|  0.9422  | 7.66| 0.15|   0.00
   60 Echo           |2001 04 01.000|0.182558  |2.393158|  3.6012|191.8525 |270.5184 | 2000|252.0417  | 8.21| 0.27|   0.00
   67 Asia           |2001 04 01.000|0.185227  |2.421078|  6.0197|202.9165 |105.4642 | 2000|353.7045  | 8.28| 0.15|   0.00
   68 Leto           |2001 04 01.000|0.185534  |2.783096|  7.9557| 44.4456 |303.7760 | 2000|300.5212  | 6.78| 0.05|   0.00
   70 Panopaea       |2001 04 01.000|0.183353  |2.615239| 11.5797| 47.9659 |255.2845 | 2000|332.5699  | 8.11| 0.14|   0.00
   74 Galatea        |2001 04 01.000|0.235937  |2.780966|  4.0567|197.5593 |173.8835 | 2000|310.8872  | 8.66| 0.15|   0.00
